seed,pdr,avg_hops,n_delivered
42,100.0,2.25,100
7,100.0,2.06,100
13,100.0,2.15,100
21,100.0,2.38,100
99,100.0,2.24,100
3,100.0,2.27,100
17,100.0,2.32,100
55,100.0,2.31,100
8,100.0,2.13,100
34,100.0,2.32,100
