seed,pdr,avg_hops
42,88.0,2.477272727272727
7,81.0,2.6296296296296298
13,88.0,2.0681818181818183
21,86.0,2.488372093023256
99,93.0,2.236559139784946
3,90.0,2.477777777777778
17,92.0,2.3260869565217392
55,98.0,2.326530612244898
8,96.0,2.25
34,75.0,2.493333333333333
