seed,pdr,avg_hops
42,69.0,18.463768115942027
7,77.0,18.83116883116883
13,71.0,19.380281690140844
21,64.0,15.890625
99,40.0,14.925
3,79.0,16.10126582278481
17,67.0,16.492537313432837
55,74.0,14.85135135135135
8,70.0,19.1
34,43.0,13.0
