seed,pdr,avg_hops,n_delivered
42,76.0,2.013157894736842,76
7,67.0,2.014925373134328,67
13,79.0,1.9367088607594938,79
21,88.0,2.1363636363636362,88
99,80.0,2.025,80
3,63.0,2.253968253968254,63
17,74.0,2.2972972972972974,74
55,67.0,2.08955223880597,67
8,73.0,2.1506849315068495,73
34,81.0,2.4814814814814814,81
