seed,pdr,avg_hops,n_delivered
42,100.0,2.29,100
7,100.0,2.28,100
13,97.0,2.2268041237113403,97
21,99.0,2.3838383838383836,99
99,100.0,2.32,100
3,96.0,2.25,96
17,97.0,2.3917525773195876,97
55,100.0,2.25,100
8,98.0,2.2755102040816326,98
34,100.0,2.34,100
